bill_type,bill_year,bill_congress,rouge_l,rouge_1,rouge_2,rouge_3,bleu_score
s,112,2659,0.359351988,0.438880707,0.425406204,0.408888889,0.652445701
s,112,265,0.573829532,0.830732293,0.661853189,0.545235223,0.562341325
s,112,2660,0.391866913,0.502772643,0.489795918,0.472998138,0.685323441
s,112,2661,0.379464286,0.46875,0.452914798,0.432432432,0.718608224
s,112,2662,0.376923077,0.496153846,0.482625483,0.465116279,0.682561959
s,112,2663,0.392324094,0.473347548,0.462526767,0.443010753,0.713337399
s,112,2664,0.40546697,0.537585421,0.52173913,0.487356322,0.702607464
s,112,2665,0.437956204,0.545012165,0.523227384,0.486486486,0.687354051
s,112,2666,0.380753138,0.481171548,0.466386555,0.447257384,0.689554944
s,112,2667,0.369168357,0.486815416,0.472505092,0.45398773,0.707106781
s,112,2668,0.386956522,0.469565217,0.458515284,0.438596491,0.698854414
s,112,2669,0.377118644,0.478813559,0.442553191,0.405982906,0.699151559
s,112,266,0.403433476,0.506437768,0.422413793,0.354978355,0.667354307
s,112,2670,0.39055794,0.47639485,0.461206897,0.441558442,0.702279832
s,112,2671,0.337696335,0.390052356,0.377952756,0.360526316,0.684866101
s,112,2672,0.319054653,0.375184638,0.364444444,0.34769688,0.697155059
s,112,2673,0.378854626,0.466960352,0.433628319,0.395555556,0.695246895
s,112,2674,0.358683314,0.401816118,0.391353811,0.376282782,0.662028083
s,112,2675,0.342857143,0.505494505,0.362030905,0.186252772,0.680843028
s,112,2676,0.35483871,0.494623656,0.474820144,0.44765343,0.688447222
s,112,2677,0.350877193,0.494417863,0.4352,0.375601926,0.66766602
s,112,2678,0.382608696,0.473913043,0.458515284,0.438596491,0.718195823
s,112,2679,0.41991342,0.541125541,0.508695652,0.467248908,0.675329675
s,112,267,0.33048433,0.381766382,0.352538505,0.303826385,0.39092455
s,112,2680,0.348920863,0.507194245,0.494584838,0.47826087,0.667551429
s,112,2681,0.320284698,0.512455516,0.378571429,0.315412186,0.652445701
s,112,2682,0.471428571,0.667857143,0.537634409,0.482014388,0.63977778
s,112,2683,0.636197441,0.683729433,0.634862385,0.629834254,0.603950636
s,112,2684,0.410022779,0.546697039,0.535469108,0.51954023,0.701139102
s,112,2685,0.394422311,0.490039841,0.476,0.457831325,0.702755148
s,112,2686,0.378870674,0.43715847,0.376599634,0.264220183,0.680374933
s,112,2687,0.370229008,0.446564885,0.379310345,0.284615385,0.679889817
s,112,2688,0.381374723,0.470066519,0.449888641,0.425055928,0.710418847
s,112,2689,0.372623574,0.498098859,0.484732824,0.46743295,0.679941711
s,112,268,0.362017804,0.518863925,0.463300806,0.324416136,0.395188261
s,112,2690,0.373225152,0.486815416,0.472505092,0.45398773,0.688724654
s,112,2691,0.386956522,0.469565217,0.462882096,0.438596491,0.698854414
s,112,2692,0.358974359,0.516239316,0.504288165,0.488812392,0.678489698
s,112,2693,0.492907801,0.726950355,0.676156584,0.65,0.621333242
s,112,2694,0.380743982,0.472647702,0.457142857,0.437086093,0.700466546
s,112,2695,0.392324094,0.473347548,0.462526767,0.443010753,0.69412683
s,112,2696,0.542435424,0.642066421,0.585185185,0.524163569,0.630661314
s,112,2697,0.380753138,0.481171548,0.466386555,0.447257384,0.689554944
s,112,2698,0.384615385,0.542735043,0.480686695,0.396551724,0.685233485
s,112,2699,0.345549738,0.415357766,0.399299475,0.379613357,0.668740305
s,112,269,0.52688172,0.559139785,0.485611511,0.444043321,0.655996557
s,112,26,0.569811321,0.694339623,0.621212121,0.52851711,0.53045964
s,112,2700,0.436724566,0.58560794,0.573566085,0.556390977,0.685129764
